1	GCF_000007685.1_ASM768v1_genomic.fna.gz	NC_005823.1:1133847-1134102	leptospira_3	2
2	GCF_000092565.1_ASM9256v1_genomic.fna.gz	NC_004342.2:3163252-3163502	leptospira	1
3	GCF_000092565.1_ASM9256v1_genomic.fna.gz	NC_004342.2:3163659-3163980	leptospira	1
4	GCF_000092565.1_ASM9256v1_genomic.fna.gz	NC_004342.2:3164475-3164726	leptospira	1
5	GCF_000092565.1_ASM9256v1_genomic.fna.gz	NC_004342.2:3164838-3165161	leptospira	1
2	GCF_000231175.1_ASM23117v1_genomic.fna.gz	NC_017551.1:3160603-3160853	leptospira	1
3	GCF_000231175.1_ASM23117v1_genomic.fna.gz	NC_017551.1:3161010-3161331	leptospira	1
4	GCF_000231175.1_ASM23117v1_genomic.fna.gz	NC_017551.1:3161826-3162077	leptospira	1
5	GCF_000231175.1_ASM23117v1_genomic.fna.gz	NC_017551.1:3162189-3162512	leptospira	1
6	GCF_000941035.1_ASM94103v1_genomic.fna.gz	NZ_CP006723.1:3202939-3204121	leptospira	92
7	GCF_000941035.1_ASM94103v1_genomic.fna.gz	NZ_CP006723.1:3206160-3206481	leptospira	92
8	GCF_001010765.1_ASM101076v1_genomic.fna.gz	NZ_CP011410.1:1272003-1272466	leptospira	24
9	GCF_001010765.1_ASM101076v1_genomic.fna.gz	NZ_CP011410.1:1272622-1272947	leptospira	24
10	GCF_001293065.1_ASM129306v1_genomic.fna.gz	NZ_CP012603.1:3284964-3285793	leptospira_2	6
11	GCF_001293065.1_ASM129306v1_genomic.fna.gz	NZ_CP012603.1:3287149-3287392	leptospira_2	6
12	GCF_001293065.1_ASM129306v1_genomic.fna.gz	NZ_CP012603.1:3288308-3288628	leptospira_2	6
13	GCF_001293065.1_ASM129306v1_genomic.fna.gz	NZ_CP012603.1:3288786-3289110	leptospira_2	6
1	GCF_002073495.2_ASM207349v2_genomic.fna.gz	NZ_CP020414.2:3423773-3424028	leptospira	17
14	GCF_005222565.1_ASM522256v1_genomic.fna.gz	NZ_CP039258.1:3150145-3152049	leptospira	44
15	GCF_005222565.1_ASM522256v1_genomic.fna.gz	NZ_CP039258.1:3152541-3153368	leptospira	44
16	GCF_005222565.1_ASM522256v1_genomic.fna.gz	NZ_CP039258.1:3154461-3155144	leptospira	44
17	GCF_005222625.1_ASM522262v1_genomic.fna.gz	NZ_CP039283.1:972985-973311	leptospira_2	128
18	GCF_005222625.1_ASM522262v1_genomic.fna.gz	NZ_CP039283.1:977107-978581	leptospira_2	128
19	GCF_001444465.1_ASM144446v1_genomic.fna.gz	NZ_CP012029.1:412487-412698	leptospira_2	99
20	GCF_003516145.1_ASM351614v1_genomic.fna.gz	NZ_CP026671.1:1088256-1088727	leptospira	144
21	GCF_003516145.1_ASM351614v1_genomic.fna.gz	NZ_CP026671.1:1423559-1424015	leptospira	144
22	GCF_000313175.2_ASM31317v2_genomic.fna.gz	NZ_CP006694.1:727418-727996	leptospira_2	158
23	GCF_000313175.2_ASM31317v2_genomic.fna.gz	NZ_CP006694.1:843352-843565	leptospira_2	158
24	GCF_000313175.2_ASM31317v2_genomic.fna.gz	NZ_CP006694.1:3073835-3074166	leptospira_2	158
25	GCF_000313175.2_ASM31317v2_genomic.fna.gz	NZ_CP006694.1:3350419-3350672	leptospira_2	158
26	GCF_000306675.2_ASM30667v3_genomic.fna.gz	NZ_CP024871.1:574208-574908	leptospira_2	249
27	GCF_000306675.2_ASM30667v3_genomic.fna.gz	NZ_CP024871.1:846408-847350	leptospira_2	249
28	GCF_000306675.2_ASM30667v3_genomic.fna.gz	NZ_CP024871.1:2768684-2769389	leptospira_2	249
29	GCF_000306675.2_ASM30667v3_genomic.fna.gz	NZ_CP024871.1:3090316-3090832	leptospira_2	249
30	GCF_003429525.1_ASM342952v1_genomic.fna.gz	NZ_CP030147.1:18002-18883	leptospira_2	249
31	GCF_003429525.1_ASM342952v1_genomic.fna.gz	NZ_CP030147.1:289511-290211	leptospira_2	249
32	GCF_003429525.1_ASM342952v1_genomic.fna.gz	NZ_CP030147.1:1582661-1583116	leptospira_2	249
33	GCF_003429525.1_ASM342952v1_genomic.fna.gz	NZ_CP030147.1:1904038-1904804	leptospira_2	249
34	GCF_003429525.1_ASM342952v1_genomic.fna.gz	NZ_CP030147.1:3861475-3861869	leptospira_2	249
